1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"블레이드&amp;소울 레볼루션","Netmarble","com.netmarble.bnsmkr"
3,"킹 오브 파이터 올스타","Netmarble","com.netmarble.kofkr"
4,"브롤스타즈","Supercell","com.supercell.brawlstars"
5,"소녀전선","X.D. Global","kr.txwy.and.snqx"
6,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
7,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
8,"아르카","GAMELAND(HK)CO.,LIMITED","com.ulugame.faithkr.google"
9,"FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","com.nexon.fo4m"
10,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
11,"트라하","NEXON Company","com.nexon.traha"
12,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
13,"블리치 Mobile 3D","Kimi Entertainment","com.koramgame.ggplay.bleachkr"
14,"프린세스 커넥트! Re:Dive","Kakao Games Corp.","com.kakaogames.pcr"
15,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
16,"붕괴3rd","miHoYo Limited","com.miHoYo.bh3korea"
17,"신명","Trigirls Studio","com.indie.jzx.kr"
18,"세븐나이츠","Netmarble","com.cjenm.sknights"
19,"MARVEL 퓨처파이트","Netmarble","com.netmarble.mherosgb"
20,"강림 : 망령인도자","Trigirls Studio","com.indie.jl.kr"
21,"마피아 시티","YottaGames","com.yottagames.mafiawar"
22,"로드 모바일: 제국의 전쟁 - MMORPG","IGG.COM","com.igg.android.lordsmobile"
23,"모두의마블","Netmarble","com.cjenm.ModooMarbleKakao"
24,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
25,"페이트/그랜드 오더","Netmarble","com.netmarble.fgok"
26,"에픽세븐","Smilegate Megaport","com.stove.epic7.google"
27,"넷마블 포커 - 블랙잭, 바카라,7포커, 로우바둑이, 뉴포커","Four Ones INC.","com.netmarble.mpoker"
28,"검은강호","9Splay","com.nsplay.ghkr.android"
29,"궁수의 전설","Habby","com.habby.archero"
30,"황제라 칭하라","Clicktouch Co.,Ltd.","com.wsy.google.wansuiye.kr"
31,"라이프애프터","X.D. Global","com.xdg.and.kr.lifeafter"
32,"컴투스프로야구2019","Com2uS","com.com2us.probaseball3d.normal.freefull.google.global.android.common"
33,"십이지천M","엔토리","com.ntori.tsm"
34,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
35,"총기시대 (Guns of Glory)","Century Game (DIANDIAN INTERACTIVE)","com.diandian.gog"
36,"꿈의 집 (Homescapes)","Playrix","com.playrix.homescapes"
